User_ID,score,last_msg
267327500718178306,20.0,1539610931.0
271758396783460354,18.0,1633248871.0
274045867420286976,17.0,1583307336.0
275436312473894912,91.0,1611526065.0
276060004262477825,22.0,1629481711.0
277169523566575616,78142.0,1639462811.0
277371362308259842,267.0,1548453059.0
277557028342202369,4059.0,1576516847.0
278187219888635904,25.0,1550765174.0
279433942598156289,31447.0,1639463867.0
282909178945732608,386.0,1619474306.0
286535825196580864,18.0,1569955432.0
293966535955841034,135.0,1583807738.0
294790386105188352,149509.0,1639474226.0
297098267550941206,72.0,1559990233.0
297259963850686475,25.0,1552609831.0
297486971872346122,117.0,1543082802.0
301653319959576577,39.0,1636922112.0
303348028662743040,345.0,1532991373.0
303554623468208128,400.0,1578507235.0
306825373319036929,9329.0,1588004251.0
309023397835177995,501.0,1582405899.0
311206789775360000,104.0,1609550481.0
312386893582958599,37.0,1533052399.0
317376932276600843,15.0,1564916913.0
323513570883010561,23.0,1550765185.0
329446752442777605,15.0,1586557781.0
332348792173101056,52.0,1633268581.0
340073581662961664,897.0,1570284593.0
343117244563193857,55553.0,1639633818.0
346627828898463744,45.0,1582312084.0
347176753816535043,247.0,1541188194.0
349650171501608963,139.0,1556243208.0
352149672124612609,13947.0,1629910151.0
352479674548617216,14007.0,1611497867.0
354195458555510784,417.0,1610515170.0
357637181818273794,156.0,1601670091.0
360672042175037444,100.0,1552771566.0
364119342125678594,1224.0,1532983856.0
369976324712038413,143.0,1636508895.0
370989884124692481,111.0,1550680265.0
371329431362600961,33.0,1633362321.0
378294097129242627,65.0,1634148571.0
386086280376614912,16.0,1563319052.0
386472179069353984,283.0,1588839129.0
396671212056477697,1455.0,1596533922.0
397107927695228938,179.0,1561646203.0
397873372333080577,303.0,1549143645.0
398552587768692737,65.0,1565304870.0
399163322085277698,5680.0,1578575054.0
404007754697670656,53.0,1564308595.0
417426410051731497,23.0,1598054984.0
417941980719349762,81.0,1561154603.0
422121113829769227,88.0,1632115274.0
423842468287741962,4123.0,1578544118.0
424101701549817857,373.0,1593465053.0
427566346654449675,18.0,1573862386.0
429305856241172480,41.0,1616683323.0
431872384350552074,71.0,1548552526.0
439205512425504771,1785.0,1629841965.0
439620142649966592,74.0,1632011673.0
447037655642013698,193285.0,1638683980.0
456015794422415360,44.0,1581911133.0
456226577798135808,110116.0,1619434969.0
463034969481281539,514.0,1600794116.0
464113463128752130,18.0,1599680435.0
470990097165320193,581.0,1606408925.0
478171154708955146,58.0,1553671880.0
482615628566626315,39.0,1555095054.0
490206355789971458,9562.0,1638675091.0
493475684879171636,430.0,1565124414.0
496387832932335667,177.0,1614770862.0
506971515103739914,70.0,1548299623.0
530133243417067551,259.0,1553371457.0
530163815413973003,41.0,1585553936.0
536263817085321231,85.0,1569087610.0
569277281046888488,21917.0,1619437176.0
571661221854707713,314.0,1621855590.0
580576734961991680,196.0,1578523100.0
601754688349798416,22.0,1563543264.0
603382095473147915,177.0,1590488339.0
610990128852238346,22.0,1603459896.0
613798192055713792,4136.0,1639467250.0
623625132186796045,722.0,1639746866.0
628596376174854154,54.0,1603448266.0
646427697785995291,114.0,1609890264.0
675418447319924746,35805.0,1639300443.0
677258477613219842,77.0,1629061812.0
699303819208687626,18.0,1587477242.0
766701841449877525,61982.0,1638726941.0
802796766163763200,18.0,1611472275.0
807749231766667264,21.0,1635805573.0
819985145847087115,1256.0,1635443592.0
862988318848450571,68.0,1626445498.0
866749802633232425,63.0,1633254475.0
870759429677654046,3402.0,1639761984.0
